,Country,Latitude,Longitude,Date,Refugees from Ukraine,datetime
339,Slovakia,48.7411522,19.4528646,2022-04-13,326244,2022-04-13
340,Romania,45.9852129,24.6859225,2022-04-13,716797,2022-04-13
341,Russian Federation,64.6863136,97.7453061,2022-04-13,471014,2022-04-13
342,Belarus,53.4250605,27.6971358,2022-04-13,22428,2022-04-13
343,Ukraine,49.4871968,31.2718321,2022-04-13,0,2022-04-13
344,Poland,52.215933,19.134422,2022-04-14,2720622,2022-04-14
345,Hungary,47.1817585,19.5060937,2022-04-14,447053,2022-04-14
346,Republic of Moldova,47.2879608,28.5670941,2022-04-14,419499,2022-04-14
347,Slovakia,48.7411522,19.4528646,2022-04-14,329597,2022-04-14
348,Romania,45.9852129,24.6859225,2022-04-14,726857,2022-04-14
349,Russian Federation,64.6863136,97.7453061,2022-04-14,484725,2022-04-14
350,Belarus,53.4250605,27.6971358,2022-04-14,22827,2022-04-14
351,Ukraine,49.4871968,31.2718321,2022-04-14,0,2022-04-14
352,Poland,52.215933,19.134422,2022-04-15,2744778,2022-04-15
353,Hungary,47.1817585,19.5060937,2022-04-15,454098,2022-04-15
354,Republic of Moldova,47.2879608,28.5670941,2022-04-15,421130,2022-04-15
355,Slovakia,48.7411522,19.4528646,2022-04-15,332707,2022-04-15
356,Romania,45.9852129,24.6859225,2022-04-15,732473,2022-04-15
357,Russian Federation,64.6863136,97.7453061,2022-04-15,522404,2022-04-15
358,Belarus,53.4250605,27.6971358,2022-04-15,23469,2022-04-15
359,Ukraine,49.4871968,31.2718321,2022-04-15,0,2022-04-15
360,Poland,52.215933,19.134422,2022-04-16,2763786,2022-04-16
361,Hungary,47.1817585,19.5060937,2022-04-16,458654,2022-04-16
362,Republic of Moldova,47.2879608,28.5670941,2022-04-16,422550,2022-04-16
363,Slovakia,48.7411522,19.4528646,2022-04-16,335243,2022-04-16
364,Romania,45.9852129,24.6859225,2022-04-16,738862,2022-04-16
365,Russian Federation,64.6863136,97.7453061,2022-04-16,522404,2022-04-16
366,Belarus,53.4250605,27.6971358,2022-04-16,23469,2022-04-16
367,Ukraine,49.4871968,31.2718321,2022-04-16,0,2022-04-16
368,Poland,52.215933,19.134422,2022-04-17,2780913,2022-04-17
369,Hungary,47.1817585,19.5060937,2022-04-17,461539,2022-04-17
370,Republic of Moldova,47.2879608,28.5670941,2022-04-17,423852,2022-04-17
371,Slovakia,48.7411522,19.4528646,2022-04-17,337311,2022-04-17
372,Romania,45.9852129,24.6859225,2022-04-17,743880,2022-04-17
373,Russian Federation,64.6863136,97.7453061,2022-04-17,522404,2022-04-17
374,Belarus,53.4250605,27.6971358,2022-04-17,23469,2022-04-17
375,Ukraine,49.4871968,31.2718321,2022-04-17,0,2022-04-17
376,Poland,52.215933,19.134422,2022-04-18,2800713,2022-04-18
377,Hungary,47.1817585,19.5060937,2022-04-18,465598,2022-04-18
378,Republic of Moldova,47.2879608,28.5670941,2022-04-18,425227,2022-04-18
379,Slovakia,48.7411522,19.4528646,2022-04-18,339680,2022-04-18
